location,date,hour,day_of_week,total_slots,occupied_slots,available_slots,bookings,historical_occupancy,occupancy_rate,demand_level
Anna Nagar Center,2026-06-09,12,1,100,73,27,26,62.53,73.0,MEDIUM
Anna Nagar Center,2026-06-09,13,1,100,84,16,23,87.91,84.0,HIGH
Anna Nagar Center,2026-06-09,14,1,100,69,31,26,65.34,69.0,MEDIUM
Anna Nagar Center,2026-06-09,15,1,100,87,13,43,90.14,87.0,HIGH
Anna Nagar Center,2026-06-09,16,1,100,61,39,27,68.61,61.0,MEDIUM
Anna Nagar Center,2026-06-09,17,1,100,43,57,14,43.11,43.0,LOW
Anna Nagar Center,2026-06-09,18,1,100,74,26,22,69.84,74.0,MEDIUM
Anna Nagar Center,2026-06-09,19,1,100,83,17,35,81.96,83.0,HIGH
Anna Nagar Center,2026-06-09,20,1,100,70,30,33,69.63,70.0,MEDIUM
Anna Nagar Center,2026-06-09,21,1,100,77,23,32,83.93,77.0,MEDIUM
Anna Nagar Center,2026-06-09,22,1,100,10,90,2,5.0,10.0,LOW
Anna Nagar Center,2026-06-09,23,1,100,24,76,8,15.38,24.0,LOW
Guindy Corporate Park,2026-06-09,0,1,180,11,169,5,8.94,6.11,LOW
Guindy Corporate Park,2026-06-09,1,1,180,14,166,6,5.78,7.78,LOW
Guindy Corporate Park,2026-06-09,2,1,180,18,162,8,14.02,10.0,LOW
Guindy Corporate Park,2026-06-09,3,1,180,4,176,1,5.0,2.22,LOW
Guindy Corporate Park,2026-06-09,4,1,180,5,175,1,10.0,2.78,LOW
Guindy Corporate Park,2026-06-09,5,1,180,9,171,3,5.26,5.0,LOW
Guindy Corporate Park,2026-06-09,6,1,180,4,176,1,5.0,2.22,LOW
Guindy Corporate Park,2026-06-09,7,1,180,9,171,3,5.0,5.0,LOW
Guindy Corporate Park,2026-06-09,8,1,180,174,6,73,88.77,96.67,HIGH
Guindy Corporate Park,2026-06-09,9,1,180,141,39,31,67.46,78.33,MEDIUM
Guindy Corporate Park,2026-06-09,10,1,180,143,37,49,79.09,79.44,MEDIUM
Guindy Corporate Park,2026-06-09,11,1,180,178,2,67,93.11,98.89,HIGH
Guindy Corporate Park,2026-06-09,12,1,180,180,0,70,88.57,100.0,HIGH
Guindy Corporate Park,2026-06-09,13,1,180,154,26,65,84.16,85.56,HIGH
Guindy Corporate Park,2026-06-09,14,1,180,148,32,72,85.87,82.22,HIGH
Guindy Corporate Park,2026-06-09,15,1,180,170,10,73,98.0,94.44,HIGH
Guindy Corporate Park,2026-06-09,16,1,180,142,38,51,93.96,78.89,MEDIUM
Guindy Corporate Park,2026-06-09,17,1,180,99,81,33,47.25,55.0,MEDIUM
Guindy Corporate Park,2026-06-09,18,1,180,127,53,48,65.44,70.56,MEDIUM
Guindy Corporate Park,2026-06-09,19,1,180,103,77,46,48.69,57.22,MEDIUM
Guindy Corporate Park,2026-06-09,20,1,180,45,135,18,21.34,25.0,LOW
Guindy Corporate Park,2026-06-09,21,1,180,35,145,14,23.67,19.44,LOW
Guindy Corporate Park,2026-06-09,22,1,180,40,140,14,23.07,22.22,LOW
Guindy Corporate Park,2026-06-09,23,1,180,21,159,8,5.0,11.67,LOW
Chennai Mall,2026-06-10,0,2,150,22,128,6,7.98,14.67,LOW
Chennai Mall,2026-06-10,1,2,150,37,113,13,22.63,24.67,LOW
Chennai Mall,2026-06-10,2,2,150,22,128,7,18.25,14.67,LOW
Chennai Mall,2026-06-10,3,2,150,6,144,3,17.52,4.0,LOW
Chennai Mall,2026-06-10,4,2,150,13,137,6,5.0,8.67,LOW
Chennai Mall,2026-06-10,5,2,150,31,119,7,6.1,20.67,LOW
Chennai Mall,2026-06-10,6,2,150,31,119,12,29.48,20.67,LOW
Chennai Mall,2026-06-10,7,2,150,5,145,2,10.85,3.33,LOW
Chennai Mall,2026-06-10,8,2,150,35,115,17,28.36,23.33,LOW
Chennai Mall,2026-06-10,9,2,150,5,145,2,5.0,3.33,LOW
Chennai Mall,2026-06-10,10,2,150,23,127,6,18.44,15.33,LOW
Chennai Mall,2026-06-10,11,2,150,12,138,3,5.0,8.0,LOW
Chennai Mall,2026-06-10,12,2,150,55,95,11,34.25,36.67,LOW
Chennai Mall,2026-06-10,13,2,150,84,66,21,58.36,56.0,MEDIUM
Chennai Mall,2026-06-10,14,2,150,87,63,34,60.37,58.0,MEDIUM
Chennai Mall,2026-06-10,15,2,150,77,73,34,44.6,51.33,MEDIUM
Chennai Mall,2026-06-10,16,2,150,19,131,8,15.95,12.67,LOW
Chennai Mall,2026-06-10,17,2,150,116,34,30,78.87,77.33,MEDIUM
Chennai Mall,2026-06-10,18,2,150,123,27,60,87.36,82.0,HIGH
Chennai Mall,2026-06-10,19,2,150,100,50,37,60.26,66.67,MEDIUM
Chennai Mall,2026-06-10,20,2,150,120,30,58,78.47,80.0,HIGH
Chennai Mall,2026-06-10,21,2,150,111,39,39,90.88,74.0,MEDIUM
Chennai Mall,2026-06-10,22,2,150,32,118,14,31.43,21.33,LOW
Chennai Mall,2026-06-10,23,2,150,46,104,12,24.9,30.67,LOW
T Nagar Commercial Hub,2026-06-10,0,2,120,18,102,9,19.87,15.0,LOW
T Nagar Commercial Hub,2026-06-10,1,2,120,16,104,4,9.52,13.33,LOW
T Nagar Commercial Hub,2026-06-10,2,2,120,9,111,4,17.7,7.5,LOW
T Nagar Commercial Hub,2026-06-10,3,2,120,16,104,4,17.13,13.33,LOW
T Nagar Commercial Hub,2026-06-10,4,2,120,16,104,4,9.42,13.33,LOW
T Nagar Commercial Hub,2026-06-10,5,2,120,20,100,6,11.74,16.67,LOW
T Nagar Commercial Hub,2026-06-10,6,2,120,23,97,6,10.51,19.17,LOW
T Nagar Commercial Hub,2026-06-10,7,2,120,20,100,5,20.82,16.67,LOW
T Nagar Commercial Hub,2026-06-10,8,2,120,15,105,7,7.21,12.5,LOW
T Nagar Commercial Hub,2026-06-10,9,2,120,13,107,6,6.72,10.83,LOW
T Nagar Commercial Hub,2026-06-10,10,2,120,88,32,28,76.02,73.33,MEDIUM
T Nagar Commercial Hub,2026-06-10,11,2,120,86,34,30,77.12,71.67,MEDIUM
T Nagar Commercial Hub,2026-06-10,12,2,120,96,24,29,87.0,80.0,HIGH
T Nagar Commercial Hub,2026-06-10,13,2,120,81,39,36,74.39,67.5,MEDIUM
T Nagar Commercial Hub,2026-06-10,14,2,120,84,36,23,70.61,70.0,MEDIUM
T Nagar Commercial Hub,2026-06-10,15,2,120,97,23,33,81.13,80.83,HIGH
T Nagar Commercial Hub,2026-06-10,16,2,120,81,39,29,67.0,67.5,MEDIUM
T Nagar Commercial Hub,2026-06-10,17,2,120,86,34,42,63.57,71.67,MEDIUM
T Nagar Commercial Hub,2026-06-10,18,2,120,80,40,27,65.38,66.67,MEDIUM
T Nagar Commercial Hub,2026-06-10,19,2,120,97,23,20,74.34,80.83,HIGH
T Nagar Commercial Hub,2026-06-10,20,2,120,52,68,19,51.25,43.33,LOW
T Nagar Commercial Hub,2026-06-10,21,2,120,47,73,22,42.2,39.17,LOW
T Nagar Commercial Hub,2026-06-10,22,2,120,49,71,23,49.6,40.83,LOW
T Nagar Commercial Hub,2026-06-10,23,2,120,8,112,2,5.0,6.67,LOW
Velachery Metro Station,2026-06-10,0,2,200,20,180,7,6.95,10.0,LOW
Velachery Metro Station,2026-06-10,1,2,200,24,176,12,15.46,12.0,LOW
Velachery Metro Station,2026-06-10,2,2,200,16,184,4,9.7,8.0,LOW
Velachery Metro Station,2026-06-10,3,2,200,10,190,3,12.51,5.0,LOW
Velachery Metro Station,2026-06-10,4,2,200,10,190,4,5.0,5.0,LOW
Velachery Metro Station,2026-06-10,5,2,200,25,175,12,8.69,12.5,LOW
Velachery Metro Station,2026-06-10,6,2,200,28,172,9,21.58,14.0,LOW
Velachery Metro Station,2026-06-10,7,2,200,166,34,41,83.92,83.0,HIGH
Velachery Metro Station,2026-06-10,8,2,200,192,8,93,88.04,96.0,HIGH
Velachery Metro Station,2026-06-10,9,2,200,177,23,39,90.72,88.5,HIGH
Velachery Metro Station,2026-06-10,10,2,200,163,37,73,85.45,81.5,HIGH
Velachery Metro Station,2026-06-10,11,2,200,139,61,43,68.64,69.5,MEDIUM
Velachery Metro Station,2026-06-10,12,2,200,134,66,66,73.05,67.0,MEDIUM
Velachery Metro Station,2026-06-10,13,2,200,139,61,63,71.76,69.5,MEDIUM
Velachery Metro Station,2026-06-10,14,2,200,174,26,44,84.9,87.0,HIGH
Velachery Metro Station,2026-06-10,15,2,200,152,48,40,65.14,76.0,MEDIUM
Velachery Metro Station,2026-06-10,16,2,200,148,52,43,75.16,74.0,MEDIUM
Velachery Metro Station,2026-06-10,17,2,200,176,24,69,82.9,88.0,HIGH
Velachery Metro Station,2026-06-10,18,2,200,193,7,48,97.91,96.5,HIGH
Velachery Metro Station,2026-06-10,19,2,200,174,26,39,90.91,87.0,HIGH
Velachery Metro Station,2026-06-10,20,2,200,194,6,77,93.98,97.0,HIGH
Velachery Metro Station,2026-06-10,21,2,200,58,142,13,23.82,29.0,LOW
Velachery Metro Station,2026-06-10,22,2,200,83,117,25,37.58,41.5,LOW
Velachery Metro Station,2026-06-10,23,2,200,96,104,30,51.21,48.0,LOW
OMR IT Park,2026-06-10,0,2,300,18,282,8,5.0,6.0,LOW
OMR IT Park,2026-06-10,1,2,300,6,294,2,5.0,2.0,LOW
OMR IT Park,2026-06-10,2,2,300,21,279,10,5.0,7.0,LOW
OMR IT Park,2026-06-10,3,2,300,16,284,7,5.0,5.33,LOW
OMR IT Park,2026-06-10,4,2,300,29,271,14,8.98,9.67,LOW
OMR IT Park,2026-06-10,5,2,300,29,271,12,5.0,9.67,LOW
OMR IT Park,2026-06-10,6,2,300,14,286,6,9.88,4.67,LOW
OMR IT Park,2026-06-10,7,2,300,23,277,6,5.0,7.67,LOW
OMR IT Park,2026-06-10,8,2,300,235,65,86,77.2,78.33,MEDIUM
OMR IT Park,2026-06-10,9,2,300,265,35,70,87.85,88.33,HIGH
OMR IT Park,2026-06-10,10,2,300,217,83,107,73.95,72.33,MEDIUM
OMR IT Park,2026-06-10,11,2,300,289,11,66,95.17,96.33,HIGH
OMR IT Park,2026-06-10,12,2,300,244,56,117,91.87,81.33,HIGH
OMR IT Park,2026-06-10,13,2,300,263,37,104,87.18,87.67,HIGH
OMR IT Park,2026-06-10,14,2,300,263,37,68,82.58,87.67,HIGH
OMR IT Park,2026-06-10,15,2,300,298,2,124,96.71,99.33,HIGH
OMR IT Park,2026-06-10,16,2,300,261,39,86,84.73,87.0,HIGH
OMR IT Park,2026-06-10,17,2,300,212,88,67,73.41,70.67,MEDIUM
OMR IT Park,2026-06-10,18,2,300,229,71,106,71.83,76.33,MEDIUM
OMR IT Park,2026-06-10,19,2,300,178,122,52,56.7,59.33,MEDIUM
OMR IT Park,2026-06-10,20,2,300,85,215,37,16.51,28.33,LOW
OMR IT Park,2026-06-10,21,2,300,49,251,15,17.89,16.33,LOW
OMR IT Park,2026-06-10,22,2,300,72,228,26,31.22,24.0,LOW
OMR IT Park,2026-06-10,23,2,300,14,286,7,5.0,4.67,LOW
Anna Nagar Center,2026-06-10,0,2,100,25,75,5,24.32,25.0,LOW
Anna Nagar Center,2026-06-10,1,2,100,26,74,8,20.5,26.0,LOW
Anna Nagar Center,2026-06-10,2,2,100,4,96,1,5.0,4.0,LOW
Anna Nagar Center,2026-06-10,3,2,100,7,93,2,14.66,7.0,LOW
Anna Nagar Center,2026-06-10,4,2,100,8,92,2,12.47,8.0,LOW
Anna Nagar Center,2026-06-10,5,2,100,11,89,4,10.06,11.0,LOW
Anna Nagar Center,2026-06-10,6,2,100,17,83,4,24.16,17.0,LOW
Anna Nagar Center,2026-06-10,7,2,100,11,89,4,11.9,11.0,LOW
Anna Nagar Center,2026-06-10,8,2,100,39,61,14,40.29,39.0,LOW
Anna Nagar Center,2026-06-10,9,2,100,63,37,21,65.49,63.0,MEDIUM
Anna Nagar Center,2026-06-10,10,2,100,62,38,21,64.57,62.0,MEDIUM
Anna Nagar Center,2026-06-10,11,2,100,39,61,14,37.63,39.0,LOW
Anna Nagar Center,2026-06-10,12,2,100,73,27,33,66.9,73.0,MEDIUM
Anna Nagar Center,2026-06-10,13,2,100,82,18,39,79.33,82.0,HIGH
Anna Nagar Center,2026-06-10,14,2,100,71,29,25,74.32,71.0,MEDIUM
Anna Nagar Center,2026-06-10,15,2,100,65,35,25,57.57,65.0,MEDIUM
Anna Nagar Center,2026-06-10,16,2,100,51,49,19,58.74,51.0,MEDIUM
Anna Nagar Center,2026-06-10,17,2,100,47,53,19,39.6,47.0,LOW
Anna Nagar Center,2026-06-10,18,2,100,88,12,26,78.78,88.0,HIGH
Anna Nagar Center,2026-06-10,19,2,100,76,24,36,79.29,76.0,MEDIUM
Anna Nagar Center,2026-06-10,20,2,100,69,31,20,73.38,69.0,MEDIUM
Anna Nagar Center,2026-06-10,21,2,100,80,20,25,74.83,80.0,HIGH
Anna Nagar Center,2026-06-10,22,2,100,3,97,2,5.0,3.0,LOW
Anna Nagar Center,2026-06-10,23,2,100,21,79,7,20.25,21.0,LOW
Guindy Corporate Park,2026-06-10,0,2,180,4,176,1,5.0,2.22,LOW
Guindy Corporate Park,2026-06-10,1,2,180,13,167,5,14.03,7.22,LOW
Guindy Corporate Park,2026-06-10,2,2,180,22,158,8,8.2,12.22,LOW
Guindy Corporate Park,2026-06-10,3,2,180,4,176,1,7.53,2.22,LOW
Guindy Corporate Park,2026-06-10,4,2,180,14,166,5,5.66,7.78,LOW
Guindy Corporate Park,2026-06-10,5,2,180,14,166,5,9.62,7.78,LOW
Guindy Corporate Park,2026-06-10,6,2,180,19,161,5,7.34,10.56,LOW
Guindy Corporate Park,2026-06-10,7,2,180,10,170,3,6.41,5.56,LOW
Guindy Corporate Park,2026-06-10,8,2,180,140,40,39,77.28,77.78,MEDIUM
Guindy Corporate Park,2026-06-10,9,2,180,163,17,36,86.93,90.56,HIGH
Guindy Corporate Park,2026-06-10,10,2,180,172,8,77,98.0,95.56,HIGH
Guindy Corporate Park,2026-06-10,11,2,180,165,15,39,95.68,91.67,HIGH
Guindy Corporate Park,2026-06-10,12,2,180,162,18,56,84.53,90.0,HIGH
Guindy Corporate Park,2026-06-10,13,2,180,168,12,53,91.14,93.33,HIGH
Guindy Corporate Park,2026-06-10,14,2,180,162,18,47,95.39,90.0,HIGH
Guindy Corporate Park,2026-06-10,15,2,180,156,24,32,82.71,86.67,HIGH
Guindy Corporate Park,2026-06-10,16,2,180,148,32,33,87.04,82.22,HIGH
Guindy Corporate Park,2026-06-10,17,2,180,115,65,54,65.2,63.89,MEDIUM
Guindy Corporate Park,2026-06-10,18,2,180,127,53,55,72.05,70.56,MEDIUM
Guindy Corporate Park,2026-06-10,19,2,180,128,52,35,78.3,71.11,MEDIUM
Guindy Corporate Park,2026-06-10,20,2,180,55,125,15,29.12,30.56,LOW
Guindy Corporate Park,2026-06-10,21,2,180,53,127,24,36.14,29.44,LOW
Guindy Corporate Park,2026-06-10,22,2,180,51,129,24,20.21,28.33,LOW
Guindy Corporate Park,2026-06-10,23,2,180,4,176,2,7.78,2.22,LOW
Chennai Mall,2026-06-11,0,3,150,36,114,8,15.57,24.0,LOW
Chennai Mall,2026-06-11,1,3,150,19,131,6,16.23,12.67,LOW
Chennai Mall,2026-06-11,2,3,150,29,121,6,14.93,19.33,LOW
Chennai Mall,2026-06-11,3,3,150,26,124,6,27.24,17.33,LOW
Chennai Mall,2026-06-11,4,3,150,26,124,10,17.33,17.33,LOW
Chennai Mall,2026-06-11,5,3,150,18,132,7,5.0,12.0,LOW
Chennai Mall,2026-06-11,6,3,150,26,124,5,5.0,17.33,LOW
Chennai Mall,2026-06-11,7,3,150,12,138,3,7.7,8.0,LOW
Chennai Mall,2026-06-11,8,3,150,23,127,11,13.31,15.33,LOW
Chennai Mall,2026-06-11,9,3,150,31,119,10,16.68,20.67,LOW
Chennai Mall,2026-06-11,10,3,150,21,129,6,21.61,14.0,LOW
Chennai Mall,2026-06-11,11,3,150,21,129,6,15.78,14.0,LOW
Chennai Mall,2026-06-11,12,3,150,66,84,25,42.16,44.0,LOW
Chennai Mall,2026-06-11,13,3,150,72,78,32,59.49,48.0,LOW
Chennai Mall,2026-06-11,14,3,150,83,67,24,53.39,55.33,MEDIUM
Chennai Mall,2026-06-11,15,3,150,89,61,19,65.79,59.33,MEDIUM
Chennai Mall,2026-06-11,16,3,150,7,143,2,10.25,4.67,LOW
Chennai Mall,2026-06-11,17,3,150,112,38,36,78.21,74.67,MEDIUM
Chennai Mall,2026-06-11,18,3,150,120,30,30,77.0,80.0,HIGH
Chennai Mall,2026-06-11,19,3,150,128,22,52,92.75,85.33,HIGH
Chennai Mall,2026-06-11,20,3,150,114,36,41,70.13,76.0,MEDIUM
Chennai Mall,2026-06-11,21,3,150,123,27,46,78.36,82.0,HIGH
Chennai Mall,2026-06-11,22,3,150,40,110,17,20.16,26.67,LOW
Chennai Mall,2026-06-11,23,3,150,43,107,14,32.44,28.67,LOW
T Nagar Commercial Hub,2026-06-11,0,3,120,23,97,11,21.78,19.17,LOW
T Nagar Commercial Hub,2026-06-11,1,3,120,6,114,2,10.41,5.0,LOW
T Nagar Commercial Hub,2026-06-11,2,3,120,5,115,1,6.07,4.17,LOW
T Nagar Commercial Hub,2026-06-11,3,3,120,11,109,4,5.0,9.17,LOW
T Nagar Commercial Hub,2026-06-11,4,3,120,14,106,6,11.65,11.67,LOW
T Nagar Commercial Hub,2026-06-11,5,3,120,10,110,2,12.29,8.33,LOW
T Nagar Commercial Hub,2026-06-11,6,3,120,10,110,2,13.85,8.33,LOW
T Nagar Commercial Hub,2026-06-11,7,3,120,10,110,3,11.82,8.33,LOW
T Nagar Commercial Hub,2026-06-11,8,3,120,24,96,6,15.21,20.0,LOW
T Nagar Commercial Hub,2026-06-11,9,3,120,26,94,5,12.5,21.67,LOW
T Nagar Commercial Hub,2026-06-11,10,3,120,85,35,19,58.92,70.83,MEDIUM
T Nagar Commercial Hub,2026-06-11,11,3,120,98,22,43,74.36,81.67,HIGH
T Nagar Commercial Hub,2026-06-11,12,3,120,92,28,28,80.17,76.67,MEDIUM
T Nagar Commercial Hub,2026-06-11,13,3,120,98,22,42,71.6,81.67,HIGH
T Nagar Commercial Hub,2026-06-11,14,3,120,82,38,37,60.13,68.33,MEDIUM
T Nagar Commercial Hub,2026-06-11,15,3,120,107,13,50,86.06,89.17,HIGH
T Nagar Commercial Hub,2026-06-11,16,3,120,78,42,35,57.56,65.0,MEDIUM
T Nagar Commercial Hub,2026-06-11,17,3,120,95,25,31,80.58,79.17,MEDIUM
T Nagar Commercial Hub,2026-06-11,18,3,120,82,38,18,62.03,68.33,MEDIUM
T Nagar Commercial Hub,2026-06-11,19,3,120,104,16,24,73.51,86.67,HIGH
T Nagar Commercial Hub,2026-06-11,20,3,120,51,69,14,50.29,42.5,LOW
T Nagar Commercial Hub,2026-06-11,21,3,120,66,54,25,56.08,55.0,MEDIUM
T Nagar Commercial Hub,2026-06-11,22,3,120,71,49,33,53.77,59.17,MEDIUM
T Nagar Commercial Hub,2026-06-11,23,3,120,9,111,3,8.67,7.5,LOW
Velachery Metro Station,2026-06-11,0,3,200,26,174,10,8.65,13.0,LOW
Velachery Metro Station,2026-06-11,1,3,200,34,166,8,15.11,17.0,LOW
Velachery Metro Station,2026-06-11,2,3,200,20,180,10,5.0,10.0,LOW
Velachery Metro Station,2026-06-11,3,3,200,42,158,12,18.1,21.0,LOW
Velachery Metro Station,2026-06-11,4,3,200,15,185,4,11.27,7.5,LOW
Velachery Metro Station,2026-06-11,5,3,200,29,171,10,6.96,14.5,LOW
Velachery Metro Station,2026-06-11,6,3,200,39,161,13,17.4,19.5,LOW
Velachery Metro Station,2026-06-11,7,3,200,185,15,86,84.49,92.5,HIGH
Velachery Metro Station,2026-06-11,8,3,200,196,4,72,98.0,98.0,HIGH
Velachery Metro Station,2026-06-11,9,3,200,185,15,55,86.84,92.5,HIGH
Velachery Metro Station,2026-06-11,10,3,200,173,27,62,86.95,86.5,HIGH
Velachery Metro Station,2026-06-11,11,3,200,141,59,48,69.39,70.5,MEDIUM
Velachery Metro Station,2026-06-11,12,3,200,159,41,52,81.82,79.5,MEDIUM
Velachery Metro Station,2026-06-11,13,3,200,158,42,34,72.42,79.0,MEDIUM
Velachery Metro Station,2026-06-11,14,3,200,140,60,33,77.44,70.0,MEDIUM
Velachery Metro Station,2026-06-11,15,3,200,148,52,53,83.51,74.0,MEDIUM
Velachery Metro Station,2026-06-11,16,3,200,172,28,45,90.25,86.0,HIGH
Velachery Metro Station,2026-06-11,17,3,200,193,7,44,93.71,96.5,HIGH
Velachery Metro Station,2026-06-11,18,3,200,182,18,70,87.01,91.0,HIGH
Velachery Metro Station,2026-06-11,19,3,200,172,28,58,80.73,86.0,HIGH
Velachery Metro Station,2026-06-11,20,3,200,193,7,55,86.0,96.5,HIGH
Velachery Metro Station,2026-06-11,21,3,200,102,98,48,53.72,51.0,MEDIUM
Velachery Metro Station,2026-06-11,22,3,200,108,92,32,49.88,54.0,MEDIUM
Velachery Metro Station,2026-06-11,23,3,200,81,119,40,33.55,40.5,LOW
OMR IT Park,2026-06-11,0,3,300,20,280,6,5.0,6.67,LOW
OMR IT Park,2026-06-11,1,3,300,15,285,4,7.43,5.0,LOW
OMR IT Park,2026-06-11,2,3,300,32,268,8,5.0,10.67,LOW
OMR IT Park,2026-06-11,3,3,300,20,280,10,5.0,6.67,LOW
OMR IT Park,2026-06-11,4,3,300,6,294,2,5.0,2.0,LOW
OMR IT Park,2026-06-11,5,3,300,16,284,7,5.0,5.33,LOW
OMR IT Park,2026-06-11,6,3,300,12,288,3,6.35,4.0,LOW
OMR IT Park,2026-06-11,7,3,300,6,294,1,6.27,2.0,LOW
OMR IT Park,2026-06-11,8,3,300,231,69,80,77.57,77.0,MEDIUM
OMR IT Park,2026-06-11,9,3,300,235,65,59,75.63,78.33,MEDIUM
OMR IT Park,2026-06-11,10,3,300,240,60,78,83.32,80.0,HIGH
OMR IT Park,2026-06-11,11,3,300,300,0,64,98.0,100.0,HIGH
OMR IT Park,2026-06-11,12,3,300,274,26,107,92.29,91.33,HIGH
OMR IT Park,2026-06-11,13,3,300,256,44,61,81.47,85.33,HIGH
OMR IT Park,2026-06-11,14,3,300,273,27,118,95.71,91.0,HIGH
OMR IT Park,2026-06-11,15,3,300,276,24,127,86.05,92.0,HIGH
OMR IT Park,2026-06-11,16,3,300,277,23,119,89.18,92.33,HIGH
OMR IT Park,2026-06-11,17,3,300,164,136,34,51.95,54.67,MEDIUM
OMR IT Park,2026-06-11,18,3,300,183,117,37,62.37,61.0,MEDIUM
OMR IT Park,2026-06-11,19,3,300,217,83,88,59.83,72.33,MEDIUM
OMR IT Park,2026-06-11,20,3,300,88,212,28,32.04,29.33,LOW
OMR IT Park,2026-06-11,21,3,300,90,210,21,38.91,30.0,LOW
OMR IT Park,2026-06-11,22,3,300,108,192,37,25.81,36.0,LOW
OMR IT Park,2026-06-11,23,3,300,6,294,2,5.0,2.0,LOW
Anna Nagar Center,2026-06-11,0,3,100,21,79,9,13.9,21.0,LOW
Anna Nagar Center,2026-06-11,1,3,100,23,77,10,20.73,23.0,LOW
Anna Nagar Center,2026-06-11,2,3,100,20,80,7,13.06,20.0,LOW
Anna Nagar Center,2026-06-11,3,3,100,6,94,1,5.0,6.0,LOW
Anna Nagar Center,2026-06-11,4,3,100,29,71,14,27.86,29.0,LOW
Anna Nagar Center,2026-06-11,5,3,100,11,89,3,12.47,11.0,LOW
Anna Nagar Center,2026-06-11,6,3,100,20,80,6,27.74,20.0,LOW
Anna Nagar Center,2026-06-11,7,3,100,14,86,6,11.76,14.0,LOW
Anna Nagar Center,2026-06-11,8,3,100,47,53,22,40.04,47.0,LOW
Anna Nagar Center,2026-06-11,9,3,100,45,55,19,42.81,45.0,LOW
Anna Nagar Center,2026-06-11,10,3,100,55,45,19,60.27,55.0,MEDIUM
Anna Nagar Center,2026-06-11,11,3,100,41,59,10,41.6,41.0,LOW
Anna Nagar Center,2026-06-11,12,3,100,82,18,31,72.19,82.0,HIGH
Anna Nagar Center,2026-06-11,13,3,100,74,26,25,78.9,74.0,MEDIUM
Anna Nagar Center,2026-06-11,14,3,100,81,19,26,80.61,81.0,HIGH
Anna Nagar Center,2026-06-11,15,3,100,84,16,17,76.16,84.0,HIGH
Anna Nagar Center,2026-06-11,16,3,100,48,52,17,44.95,48.0,LOW
Anna Nagar Center,2026-06-11,17,3,100,58,42,14,47.64,58.0,MEDIUM
Anna Nagar Center,2026-06-11,18,3,100,85,15,40,82.2,85.0,HIGH
Anna Nagar Center,2026-06-11,19,3,100,93,7,40,87.85,93.0,HIGH
Anna Nagar Center,2026-06-11,20,3,100,67,33,23,68.48,67.0,MEDIUM
Anna Nagar Center,2026-06-11,21,3,100,67,33,22,62.95,67.0,MEDIUM
Anna Nagar Center,2026-06-11,22,3,100,17,83,4,13.45,17.0,LOW
Anna Nagar Center,2026-06-11,23,3,100,19,81,8,26.66,19.0,LOW
Guindy Corporate Park,2026-06-11,0,3,180,6,174,2,12.21,3.33,LOW
Guindy Corporate Park,2026-06-11,1,3,180,5,175,1,11.93,2.78,LOW
Guindy Corporate Park,2026-06-11,2,3,180,6,174,1,5.24,3.33,LOW
Guindy Corporate Park,2026-06-11,3,3,180,15,165,3,6.45,8.33,LOW
Guindy Corporate Park,2026-06-11,4,3,180,4,176,1,7.33,2.22,LOW
Guindy Corporate Park,2026-06-11,5,3,180,7,173,2,5.0,3.89,LOW
Guindy Corporate Park,2026-06-11,6,3,180,13,167,3,11.61,7.22,LOW
Guindy Corporate Park,2026-06-11,7,3,180,12,168,4,5.0,6.67,LOW
Guindy Corporate Park,2026-06-11,8,3,180,167,13,78,87.45,92.78,HIGH
Guindy Corporate Park,2026-06-11,9,3,180,140,40,40,80.09,77.78,MEDIUM
Guindy Corporate Park,2026-06-11,10,3,180,140,40,47,78.98,77.78,MEDIUM
Guindy Corporate Park,2026-06-11,11,3,180,165,15,70,85.83,91.67,HIGH
Guindy Corporate Park,2026-06-11,12,3,180,180,0,43,98.0,100.0,HIGH
Guindy Corporate Park,2026-06-11,13,3,180,177,3,49,94.67,98.33,HIGH
Guindy Corporate Park,2026-06-11,14,3,180,179,1,48,98.0,99.44,HIGH
Guindy Corporate Park,2026-06-11,15,3,180,166,14,38,90.88,92.22,HIGH
Guindy Corporate Park,2026-06-11,16,3,180,173,7,78,98.0,96.11,HIGH
Guindy Corporate Park,2026-06-11,17,3,180,103,77,39,60.97,57.22,MEDIUM
Guindy Corporate Park,2026-06-11,18,3,180,132,48,54,62.14,73.33,MEDIUM
Guindy Corporate Park,2026-06-11,19,3,180,113,67,31,66.3,62.78,MEDIUM
Guindy Corporate Park,2026-06-11,20,3,180,43,137,18,29.03,23.89,LOW
Guindy Corporate Park,2026-06-11,21,3,180,32,148,14,16.88,17.78,LOW
Guindy Corporate Park,2026-06-11,22,3,180,26,154,8,19.25,14.44,LOW
Guindy Corporate Park,2026-06-11,23,3,180,11,169,5,11.87,6.11,LOW
Chennai Mall,2026-06-12,0,4,150,25,125,10,5.0,16.67,LOW
Chennai Mall,2026-06-12,1,4,150,30,120,8,5.0,20.0,LOW
Chennai Mall,2026-06-12,2,4,150,27,123,12,21.87,18.0,LOW
Chennai Mall,2026-06-12,3,4,150,35,115,8,26.19,23.33,LOW
Chennai Mall,2026-06-12,4,4,150,20,130,7,11.68,13.33,LOW
Chennai Mall,2026-06-12,5,4,150,18,132,5,19.78,12.0,LOW
Chennai Mall,2026-06-12,6,4,150,10,140,4,10.5,6.67,LOW
Chennai Mall,2026-06-12,7,4,150,26,124,12,17.01,17.33,LOW
